recid,boro,uf1_1,uf1_2,uf1_3,uf1_4,uf1_5,uf1_6,uf1_7,uf1_8,uf1_9,uf1_10,uf1_11,uf1_12,uf1_13,uf1_14,uf1_15,uf1_16,uf1_35,uf1_17,uf1_18,uf1_19,uf1_20,uf1_21,uf1_22,sc23,sc24,sc36,sc37,sc38,sc30,sc518,uf49,sc520,uf33,uf51,sc522,sc553,sc555,sc523,sc524,sc525,sc526,sc527,sc528,sc529,sc530,sc531,sc532,sc533,sc534,sc535,uf31,uf19,new_csr,nusc,sc26,uf23,rec62,rec64,uf32,rec21,cd,seqno,fw,hflag6,hflag3,hflag15,hflag17,hflag8,hflag5
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,2,5,2,04,2,01,03,2,9,2,4,03,0,3,0,4,1,1,8,2,1,3,09,99999,2,04,13,11,09,1,1,9999,1,02,841501,202.98014,0,0,1,2,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,1,2,2,2,4,1,5,2,05,1,02,04,2,9,2,5,04,0,3,0,4,1,1,3,2,1,3,03,99999,2,04,05,11,09,1,1,9999,1,02,198531,190.2989,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,5,1,05,2,03,01,2,9,2,1,01,0,3,2,9,1,1,6,3,1,3,02,99999,2,04,02,11,10,1,5,9999,1,02,732188,208.48735,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,5,2,05,2,01,02,2,9,2,5,03,0,3,0,4,2,1,5,1,1,3,06,99999,2,04,05,11,08,1,1,9999,1,02,815202,209.4556,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,3,2,5,2,05,2,02,02,2,9,2,3,03,0,3,0,4,1,1,6,2,1,2,99,99999,2,03,12,05,08,1,1,9999,1,02,822237,236.4314,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,9,9,1,2,2,2,4,3,5,2,05,2,02,03,2,9,2,3,03,0,3,0,4,1,1,6,1,1,2,99,99999,2,03,12,05,08,1,1,9999,1,02,547818,239.69816,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,1,2,1,2,4,3,5,2,05,3,02,03,2,9,2,3,03,2,9,3,9,1,1,6,2,1,3,10,99999,2,04,12,11,08,5,6,9999,1,02,008514,303.63052,0,0,0,0,1,0
3,1,9,9,9,9,1,9,9,9,9,1,9,8,8,8,8,8,8,9,9,9,9,1,9,2,2,1,1,1,2,2,12,2,05,06,1,1,1,1,01,0,3,0,4,1,1,5,2,1,1,99,00750,2,21,03,07,02,1,1,0750,1,02,051165,188.65244,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,1,4,2,03,1,01,01,2,9,2,1,01,0,3,2,9,2,1,6,1,1,3,08,99999,2,04,13,11,09,1,5,9999,1,02,312555,188.36458,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,2,2,5,2,11,2,04,05,2,9,2,5,04,0,3,0,4,1,1,3,2,1,3,04,99999,1,04,02,11,09,1,1,9999,1,02,484004,231.77636,0,0,0,0,0,0
3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,11,2,03,02,2,9,1,3,02,0,3,0,4,1,1,3,2,1,1,99,01000,2,30,02,07,07,1,1,0333,8,02,405321,193.62923,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,4,2,5,2,05,1,02,02,2,9,1,3,03,0,3,0,4,2,1,3,2,1,1,99,00900,2,31,03,07,02,1,1,0300,1,02,653347,197.80859,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,4,2,07,1,02,04,2,9,2,4,03,0,3,0,4,2,1,2,2,1,1,99,01200,2,80,12,07,07,1,1,0300,1,02,178813,204.80195,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,2,2,05,2,02,01,2,9,1,2,02,0,3,0,4,2,1,1,2,1,3,10,99999,2,04,03,11,02,1,1,9999,1,02,631140,186.08137,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,4,2,05,1,02,01,2,9,1,1,01,0,3,0,4,2,1,1,2,1,1,99,00500,2,80,03,07,02,1,1,0500,1,02,937282,183.25194,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,4,1,4,2,01,2,01,02,2,9,2,2,02,0,3,0,4,4,1,1,1,1,1,99,00100,2,80,13,07,09,1,1,0050,1,02,249556,254.74886,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,1,1,2,12,2,05,01,2,9,2,4,03,0,3,0,4,1,1,2,2,1,3,03,99999,2,04,02,11,07,1,1,9999,1,02,828232,219.10391,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,8,8,8,8,8,8,9,9,9,9,1,9,2,2,2,4,1,5,2,12,2,04,02,2,9,2,3,02,0,3,0,4,1,4,4,2,4,3,03,99999,1,04,02,11,07,1,1,9999,1,02,906339,216.17956,0,0,0,0,0,0
3,1,9,9,9,1,9,9,9,9,1,9,9,9,9,1,9,9,9,9,1,9,1,9,9,3,2,2,4,2,5,2,09,2,03,05,2,9,2,2,02,0,3,0,4,1,1,4,4,1,1,99,00700,2,30,01,07,08,1,1,0350,1,02,710948,242.05857,0,0,0,0,0,0
3,1,9,9,9,9,1,9,8,8,8,8,8,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,3,5,2,11,2,03,03,2,9,2,3,02,0,3,0,4,2,3,6,2,2,1,99,01200,1,80,02,07,07,1,1,0400,1,02,106931,183.23651,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,1,2,13,2,05,07,1,1,2,2,02,0,3,0,4,2,1,2,2,1,1,99,01000,1,80,03,07,01,1,1,0500,1,02,787984,186.08137,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,1,9,9,9,2,2,2,4,2,1,2,08,2,03,03,2,9,2,5,04,0,3,0,4,1,1,6,2,1,3,03,99999,1,04,01,11,07,1,1,9999,1,02,135268,219.10391,0,0,0,0,0,0
3,1,9,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,2,2,1,1,1,8,2,13,2,07,08,1,1,1,4,02,0,3,0,4,1,3,6,1,3,1,99,00800,2,85,03,07,05,1,1,0200,1,03,952810,178.39613,0,0,0,0,0,0
